ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID,ingested_at
IGHG2,,0.8925,0.569227,-0.57474,-5.766,-0.229485,ENST00000390545.1,2026-04-21T13:38:22.490663+00:00
TLE4,NM_007005.3,0.8927,0.576557,-0.56382,-5.772,-0.053854,,2026-04-21T13:38:22.490663+00:00
LILRB2,NM_001278405.1,0.8927,0.577455,-0.56248,-5.773,-0.134609,,2026-04-21T13:38:22.490663+00:00
BTRC,NM_001256856.1,0.8927,0.582576,0.5549,-5.777,0.046941,,2026-04-21T13:38:22.490663+00:00
E2F2,NM_004091.3,0.8927,0.583444,-0.55361,-5.777,-0.115956,,2026-04-21T13:38:22.490663+00:00
CCR7,NM_001838.3,0.8927,0.583672,-0.55328,-5.778,-0.1394,,2026-04-21T13:38:22.490663+00:00
TNFRSF17,NM_001192.2,0.8927,0.58397,-0.55284,-5.778,-0.197584,,2026-04-21T13:38:22.490663+00:00
PBX1,NM_002585.3,0.8927,0.584317,0.55232,-5.778,0.132335,,2026-04-21T13:38:22.490663+00:00
CREB3L2,NM_194071.3,0.8927,0.584473,0.55209,-5.778,0.051243,,2026-04-21T13:38:22.490663+00:00
SPIB,NM_003121.4,0.8927,0.585553,0.5505,-5.779,0.101865,,2026-04-21T13:38:22.490663+00:00
PPP2R5B,NM_006244.3,0.8927,0.586369,-0.5493,-5.78,-0.053469,,2026-04-21T13:38:22.490663+00:00
S100A12,NM_005621.1,0.8927,0.587387,-0.5478,-5.78,-0.163988,,2026-04-21T13:38:22.490663+00:00
HLA-DPA1,NM_033554.3,0.8927,0.58818,-0.54663,-5.781,-0.110099,,2026-04-21T13:38:22.490663+00:00
ZAP70,NM_001079.3,0.8927,0.588258,-0.54652,-5.781,-0.085431,,2026-04-21T13:38:22.490663+00:00
PTPN18,NM_014369.4,0.8927,0.589058,-0.54534,-5.782,-0.098562,,2026-04-21T13:38:22.490663+00:00
HIPK1,NM_152696.3,0.8933,0.590849,-0.54271,-5.783,-0.053239,,2026-04-21T13:38:22.490663+00:00
LTBP1,NM_000627.3,0.8949,0.594772,0.53696,-5.786,0.148345,,2026-04-21T13:38:22.490663+00:00
CD226,NM_001303618.1,0.8949,0.595725,0.53556,-5.787,0.093549,,2026-04-21T13:38:22.490663+00:00
CD79B,NM_001039933.1,0.8949,0.596151,0.53494,-5.787,0.095102,,2026-04-21T13:38:22.490663+00:00
FOS,NM_005252.3,0.8995,0.602292,0.52598,-5.792,0.249707,,2026-04-21T13:38:22.490663+00:00
AHR,NM_001621.3,0.8995,0.603975,-0.52354,-5.793,-0.080348,,2026-04-21T13:38:22.490663+00:00
MAPK11,NM_002751.6,0.8995,0.605242,-0.5217,-5.794,-0.062831,,2026-04-21T13:38:22.490663+00:00
CEBPD,NM_005195.3,0.8995,0.606721,-0.51955,-5.795,-0.096363,,2026-04-21T13:38:22.490663+00:00
DLD,NM_000108.3,0.8995,0.606915,0.51927,-5.795,0.051143,,2026-04-21T13:38:22.490663+00:00
ZNF683,NM_001114759.1,0.8995,0.60772,-0.5181,-5.795,-0.219034,,2026-04-21T13:38:22.490663+00:00
ACSL4,NM_004458.2,0.9078,0.617518,0.50396,-5.802,0.088685,,2026-04-21T13:38:22.490663+00:00
PSMA1,NM_148976.2,0.9078,0.618267,0.50289,-5.803,0.03711,,2026-04-21T13:38:22.490663+00:00
ALOX5,NM_000698.2,0.9078,0.618345,0.50277,-5.803,0.098133,,2026-04-21T13:38:22.490663+00:00
BAK1,NM_001188.3,0.9078,0.61913,0.50165,-5.803,0.037467,,2026-04-21T13:38:22.490663+00:00
TLR10,NM_030956.2,0.9078,0.621088,-0.49884,-5.805,-0.100405,,2026-04-21T13:38:22.490663+00:00
TNF,NM_000594.2,0.9078,0.621884,0.49769,-5.805,0.08269,,2026-04-21T13:38:22.490663+00:00
GBP3,NM_018284.3,0.9121,0.627289,0.48996,-5.809,0.075797,,2026-04-21T13:38:22.490663+00:00
EGF,NM_001963.4,0.9121,0.627687,0.48939,-5.809,0.142293,,2026-04-21T13:38:22.490663+00:00
MX2,NM_002463.1,0.9132,0.62989,-0.48625,-5.811,-0.056888,,2026-04-21T13:38:22.490663+00:00
LDHA,NM_005566.3,0.9135,0.631525,-0.48392,-5.812,-0.046573,,2026-04-21T13:38:22.490663+00:00
ELOVL7,NM_024930.1,0.9152,0.634138,0.48021,-5.813,0.153849,,2026-04-21T13:38:22.490663+00:00
ACSL6,NM_001009185.1,0.9183,0.63773,0.47511,-5.816,0.115857,,2026-04-21T13:38:22.490663+00:00
TBX21,NM_013351.1,0.9237,0.642985,-0.46767,-5.819,-0.111011,,2026-04-21T13:38:22.490663+00:00
MS4A2,NM_000139.3,0.9255,0.645633,0.46393,-5.821,0.140881,,2026-04-21T13:38:22.490663+00:00
BTLA,NM_181780.2,0.93,0.654005,-0.45216,-5.826,-0.070006,,2026-04-21T13:38:22.490663+00:00
KLF2,NM_016270.2,0.93,0.65432,-0.45172,-5.826,-0.051023,,2026-04-21T13:38:22.490663+00:00
E2F1,NM_005225.1,0.93,0.655954,0.44943,-5.827,0.078905,,2026-04-21T13:38:22.490663+00:00
GBP2,NM_004120.3,0.93,0.656531,-0.44863,-5.827,-0.044161,,2026-04-21T13:38:22.490663+00:00
NRAS,NM_002524.4,0.93,0.657541,0.44721,-5.828,0.038695,,2026-04-21T13:38:22.490663+00:00
RGS16,NM_002928.2,0.93,0.657569,0.44717,-5.828,0.098094,,2026-04-21T13:38:22.490663+00:00
CD40LG,NM_000074.2,0.9324,0.660757,-0.44272,-5.83,-0.069284,,2026-04-21T13:38:22.490663+00:00
TRGV4,,0.9324,0.66225,0.44063,-5.831,0.146361,ENST00000390345.1,2026-04-21T13:38:22.490663+00:00
GRAP2,NM_001291826.1,0.9334,0.667237,-0.43369,-5.834,-0.063363,,2026-04-21T13:38:22.490663+00:00
