ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID
ITGAV,NM_002210.2,0.4787,0.094125,1.72186,-4.567,0.352765,
FADD,NM_003824.3,0.4787,0.09437,-1.72053,-4.569,-0.247639,
KIR3DL1/2,NM_001322168.1,0.4787,0.094886,1.71773,-4.573,0.433155,
DTX4,NM_015177.1,0.4787,0.094983,1.7172,-4.574,0.293697,
CAMK2D,NM_172127.1,0.4793,0.095859,1.71248,-4.581,0.196274,
PPP1CB,NM_002709.2,0.4817,0.097096,1.70587,-4.591,0.122315,
CSF1R,NM_005211.3,0.4842,0.098634,-1.69775,-4.603,-0.393035,
VDAC1,NM_003374.3,0.4842,0.099127,-1.69517,-4.607,-0.164771,
GSK3B,NM_002093.2,0.4927,0.101641,1.68218,-4.626,0.153663,
MRAS,NM_012219.4,0.509,0.105798,-1.66127,-4.657,-0.345387,
TNFSF9,NM_003811.3,0.5108,0.107406,1.65336,-4.668,0.334174,
BAX,NM_138761.3,0.5108,0.107933,-1.65079,-4.672,-0.124857,
IRAK4,NM_001114182.1,0.5108,0.108592,1.64759,-4.677,0.187798,
PTPN22,NM_012411.5,0.5122,0.110189,1.6399,-4.688,0.224782,
OAS1,NM_001032409.1,0.5122,0.110934,-1.63635,-4.693,-0.367416,
VTCN1,NM_001253849.1,0.5122,0.111554,-1.63341,-4.697,-0.265683,
NFKB2,NM_002502.2,0.5122,0.11213,1.63069,-4.701,0.170676,
ALDH1A1,NM_000689.4,0.5128,0.113052,-1.62635,-4.708,-0.484805,
TLR7,NM_016562.3,0.5137,0.114056,-1.62166,-4.714,-0.345528,
YY1,NM_003403.3,0.514,0.11494,-1.61756,-4.72,-0.108386,
OSM,NM_020530.4,0.5257,0.118715,1.60036,-4.745,0.458698,
CTLA4,NM_005214.3,0.5257,0.119672,1.59606,-4.751,0.291601,
TRAC,,0.5257,0.120049,-1.59438,-4.753,-0.261933,ENST00000611116.1
ITGB3,NM_000212.2,0.5385,0.123807,1.57783,-4.776,0.498427,
PSMB9,NM_002800.4,0.541,0.126064,-1.56809,-4.79,-0.13442,
MYSM1,NM_001085487.2,0.541,0.126085,1.568,-4.79,0.173547,
LAIR1,NM_001289023.2,0.5423,0.127237,-1.56308,-4.797,-0.142596,
CCR5,NM_000579.3,0.5512,0.130194,-1.55062,-4.814,-0.355837,
TIGIT,NM_173799.2,0.5539,0.131705,1.54434,-4.823,0.197282,
SELL,NM_000655.4,0.5551,0.133045,-1.53883,-4.83,-0.155662,
AKT3,NM_005465.4,0.5551,0.134173,1.53422,-4.837,0.204704,
CD3D,NM_000732.4,0.5551,0.134867,-1.53139,-4.841,-0.210722,
CD68,NM_001251.2,0.5551,0.135489,-1.52887,-4.844,-0.344534,
LCK,NM_005356.2,0.5569,0.136803,-1.52358,-4.851,-0.222241,
LAMTOR3,NM_001243736.1,0.56,0.138465,-1.51695,-4.86,-0.152213,
TIMP1,NM_003254.2,0.5655,0.140715,-1.50807,-4.872,-0.207029,
NOTCH2,NM_024408.3,0.5673,0.14204,-1.5029,-4.879,-0.203852,
HLA-DQB2,NM_001198858.1,0.5675,0.142992,-1.49921,-4.884,-0.475029,
PPP2R5E,NM_001282179.1,0.5743,0.145603,1.48917,-4.898,0.153333,
PRKAA1,NM_006251.5,0.5799,0.148125,1.47962,-4.91,0.127119,
TPSAB1/B2,NM_003294.3,0.5799,0.14951,1.47443,-4.917,0.457506,
CREBBP,NM_004380.2,0.5799,0.150314,1.47143,-4.921,0.156874,
GREM2,NM_022469.4,0.5799,0.150688,1.47004,-4.923,0.315955,
PTAFR,NM_000952.3,0.5843,0.15375,-1.45877,-4.938,-0.354325,
UBE2D1,NM_003338.4,0.5843,0.154615,-1.45561,-4.942,-0.232854,
CD84,NM_003874.3,0.5843,0.154636,1.45554,-4.942,0.159471,
PRKDC,NM_001081640.1,0.5843,0.155509,1.45237,-4.946,0.174414,
ITPR1,NM_001099952.2,0.5924,0.158603,1.44126,-4.96,0.17513,
CD38,NM_001775.2,0.5952,0.160489,-1.43456,-4.969,-0.203013,
INPP5D,NM_001017915.2,0.5952,0.161844,1.4298,-4.975,0.126832,
PPP3CC,NM_005605.4,0.5952,0.1629,1.4261,-4.98,0.455686,
RAC1,NM_006908.4,0.5952,0.163851,-1.42279,-4.984,-0.154322,
STAT5A,NM_003152.3,0.5952,0.165267,-1.41789,-4.991,-0.106621,
EFNA1,NM_182685.1,0.5952,0.166984,-1.41199,-4.998,-0.297454,
AQP7,NM_001170.2,0.5952,0.168301,1.4075,-5.004,0.357336,
CYLD,NM_001042412.1,0.5952,0.16881,1.40577,-5.006,0.160394,
CD163,NM_004244.4,0.5952,0.169151,-1.40461,-5.007,-0.352464,
TRBC1/2,,0.5952,0.169625,-1.40301,-5.009,-0.280393,ENST00000466254.1
BST2,NM_004335.2,0.5952,0.169661,-1.40289,-5.01,-0.162602,
CMKLR1,NM_004072.2,0.598,0.1714,-1.39703,-5.017,-0.244576,
PHC3,NM_024947.3,0.6,0.172911,1.39198,-5.023,0.152571,
FCRL2,NM_001159488.1,0.6008,0.174102,1.38803,-5.028,0.328999,
ACSL3,NM_203372.1,0.6096,0.177599,1.37653,-5.043,0.206373,
CXCL8,NM_000584.3,0.6183,0.181854,1.36278,-5.06,0.837075,
DAPP1,NM_014395.3,0.6183,0.182096,-1.36201,-5.061,-0.205145,
NFATC2,NM_012340.3,0.6224,0.184265,1.3551,-5.069,0.170001,
EHHADH,NM_001166415.1,0.6233,0.18738,-1.34529,-5.081,-0.248857,
SFN,NM_006142.3,0.6233,0.187427,1.34515,-5.081,0.258967,
EIF4B,NM_001417.4,0.6233,0.187491,-1.34495,-5.082,-0.109764,
ACACA,NM_198834.1,0.6312,0.191357,1.33295,-5.096,0.231232,
