Symbol,Description,GeneID,log2(fold change),-log10(Pvalue)
TP53INP2,tumor protein p53 inducible nuclear protein 2,58476,-3.45,1.545
UBE2C,ubiquitin conjugating enzyme E2 C,11065,1.603,1.556
TNNC2,"troponin C2, fast skeletal type",7125,1.902,2.027
MMP9,matrix metallopeptidase 9,4318,-3.335,1.469
SNAI1,snail family transcriptional repressor 1,6615,-5.997,2.596
TUBB1,tubulin beta 1 class VI,81027,1.645,1.545
RBM11,RNA binding motif protein 11,54033,-1.464,1.414
CXADR,CXADR Ig-like cell adhesion molecule,1525,-1.776,1.422
MAP3K7CL,MAP3K7 C-terminal like,56911,1.544,3.438
ZBTB21,zinc finger and BTB domain containing 21,49854,-1.749,1.471
SIK1,salt inducible kinase 1,150094,-3.609,1.545
TPTEP1,TPTE pseudogene 1,387590,1.699,1.796
TUBA8,tubulin alpha 8,51807,1.494,1.767
CLDN5,claudin 5,7122,1.395,1.396
SEPTIN5,septin 5,5413,1.814,1.414
SEPT5-GP1BB,SEPT5-GP1BB readthrough,100526833,1.762,1.507
GP1BB,glycoprotein Ib platelet subunit beta,2812,1.745,1.521
IGLV1-51,immunoglobulin lambda variable 1-51,28820,1.856,1.412
IGLV1-50,immunoglobulin lambda variable 1-50 (non-functional),28821,2.073,1.493
IGLV1-36,immunoglobulin lambda variable 1-36,28826,2.125,1.698
IGLV3-27,immunoglobulin lambda variable 3-27,28791,2.051,2.361
IGLV3-21,immunoglobulin lambda variable 3-21,28796,3.038,1.767
LOC107985542,,107985542,1.635,1.774
IGLV3-13,immunoglobulin lambda variable 3-13 (pseudogene),28801,1.797,1.494
IGLV3-9,immunoglobulin lambda variable 3-9,28804,1.649,1.302
IGLV2-5,immunoglobulin lambda variable 2-5 (pseudogene),28818,1.141,2.361
OSM,oncostatin M,5008,-4.041,1.529
SEC14L2,SEC14 like lipid binding 2,23541,-2.92,1.866
MAFF,MAF bZIP transcription factor F,23764,-2.427,1.412
GRAP2,GRB2 related adaptor protein 2,9402,1.037,1.545
