symbol,geneid,description,pvalue,padj,log2foldchange,stat,basemean,ingested_at,bronze_source_file,series_id,gb_acc
CCNE1,898.0,cyclin E1,0.29,0.610354,-0.391427,-1.05815,69.62,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
GCLM,2730.0,glutamate-cysteine ligase modifier subunit,0.29,0.610431,0.282342,1.05763,161.67,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CRTC2,200186.0,CREB regulated transcription coactivator 2,0.29,0.610431,-0.0639139,-1.05782,802.38,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LOC105374852,105374852.0,uncharacterized LOC105374852,0.29,0.610431,-0.378554,-1.05766,19.64,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
NAP1L1,4673.0,nucleosome assembly protein 1 like 1,0.29,0.610431,-0.279215,-1.05771,1928.66,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
FIZ1,84922.0,FLT3 interacting zinc finger 1,0.29,0.610431,0.220226,1.05787,86.56,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
DAPK3,1613.0,death associated protein kinase 3,0.29,0.610619,0.140958,1.05735,736.25,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CAVIN3,112464.0,caveolae associated protein 3,0.291,0.610868,-0.450166,-1.05701,71.91,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
HP09053,101929357.0,uncharacterized LOC101929357,0.291,0.610869,-0.277696,-1.05669,28.17,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CRYM,1428.0,crystallin mu,0.291,0.610869,-0.403739,-1.05659,39.56,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
HEATR6,63897.0,HEAT repeat containing 6,0.291,0.610869,0.192881,1.05672,224.3,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
PHLPP1,23239.0,PH domain and leucine rich repeat protein phosphatase 1,0.291,0.610869,-0.364643,-1.05666,18.84,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ZNF844,284391.0,zinc finger protein 844,0.291,0.610869,-0.263614,-1.0566,76.17,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SUGT1,10910.0,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone",0.291,0.610878,-0.179896,-1.05649,390.87,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ABI1,10006.0,abl interactor 1,0.291,0.610914,-0.141444,-1.05632,1880.42,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
RTF1,23168.0,"RTF1 homolog, Paf1/RNA polymerase II complex component",0.291,0.610914,-0.111763,-1.05629,553.21,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
PCED1B-AS1,100233209.0,PCED1B antisense RNA 1,0.291,0.611151,-0.181911,-1.05596,2666.19,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
MACROH2A1,9555.0,macroH2A.1 histone,0.291,0.61123,-0.143868,-1.05572,3839.5,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LOC100130298,100130298.0,hCG1816373-like,0.291,0.61123,0.365914,1.05565,42.51,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
AP5M1,55745.0,adaptor related protein complex 5 subunit mu 1,0.291,0.61123,0.186967,1.05562,493.54,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
PKD2L2,27039.0,"polycystin 2 like 2, transient receptor potential cation channel",0.291,0.611303,-0.353969,-1.05541,25.56,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SNORD10,652966.0,"small nucleolar RNA, C/D box 10",0.291,0.611303,-0.318435,-1.05538,70.48,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SPOPL,339745.0,speckle type BTB/POZ protein like,0.291,0.611552,-0.240379,-1.05504,100.96,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
